,alpha
2012-01-30,-1.4684909052275161
2012-01-31,-0.1505789864803674
2012-02-01,-0.8779216601657358
2012-02-02,-0.33462404120746847
2012-02-03,1.842842390060303
2012-02-06,2.3697779915268136
2012-02-07,2.3561987537369706
2012-02-08,2.0555472118022284
2012-02-09,1.470297201482304
2012-02-10,2.989175494061801
2012-02-13,1.0502062226143742
2012-02-14,2.1404821600015036
2012-02-15,1.1986055080759896
2012-02-16,2.206700655845577
2012-02-17,1.8200342766469106
2012-02-21,2.417255410009528
2012-02-22,3.0945784351380468
2012-02-23,3.938754431263885
2012-02-24,3.8936279714342947
2012-02-27,5.51305775763394
2012-02-28,6.148500816001872
2012-02-29,4.004044825141475
2012-03-01,4.584462618949706
2012-03-02,2.2762008800120728
2012-03-05,-0.5826107048877857
2012-03-06,-0.36313673055349155
2012-03-07,2.915959050669878
2012-03-08,4.239574636438684
2012-03-09,3.4769684927965123
2012-03-12,3.5978828819597126
2012-03-13,1.319757468947498
2012-03-14,1.9697663776907524
2012-03-15,3.7068838753593267
2012-03-16,5.619331603981769
2012-03-19,5.552794326106766
2012-03-20,7.275552353998267
2012-03-21,7.730946243867361
2012-03-22,6.8871420427404315
2012-03-23,12.320861261581022
2012-03-26,12.611383683094179
2012-03-27,8.775374073588225
2012-03-28,6.638921053115462
2012-03-29,8.691674241230508
2012-03-30,8.905137873504483
2012-04-02,10.193038631682047
2012-04-03,10.614090119476757
2012-04-04,9.28517613402195
2012-04-05,7.754058175744598
2012-04-09,9.040358127766371
2012-04-10,7.967785827159162
2012-04-11,6.5806826571097545
2012-04-12,10.118859729907829
2012-04-13,8.463982790107668
2012-04-16,8.082253014219138
2012-04-17,8.300894708582971
2012-04-18,8.46392238244337
2012-04-19,7.453270333681774
2012-04-20,3.832066488074895
2012-04-23,6.722291753287811
2012-04-24,10.567834131729038
2012-04-25,11.070622569831409
2012-04-26,14.123860440429699
2012-04-27,12.777849834213445
2012-04-30,12.19963891137488
2012-05-01,13.429463730877298
2012-05-02,13.059411114501247
2012-05-03,10.480362460229292
2012-05-04,8.03478164734116
2012-05-07,6.42324287217072
2012-05-08,4.348866576126222
2012-05-09,10.255159836335928
2012-05-10,6.500113751063705
2012-05-11,4.9475722948766
2012-05-14,3.8837627137838546
2012-05-15,2.7749080871065552
2012-05-16,-1.2924205355998364
2012-05-17,-2.5949956774548144
2012-05-18,-3.0385033608552496
2012-05-21,1.9123044058293428
2012-05-22,-0.046545921449512875
2012-05-23,3.210853606913947
2012-05-24,3.2617306492745373
2012-05-25,4.5454686028568245
2012-05-29,3.612684134425137
2012-05-30,3.1944111444991927
2012-05-31,-0.8589170295096805
2012-06-01,-0.019978256699357332
2012-06-04,-0.8665259531252142
2012-06-05,4.332064924080595
2012-06-06,9.134553951643685
2012-06-07,8.492804127887144
2012-06-08,9.22936573445111
2012-06-11,10.530630676878094
2012-06-12,10.208198600695827
2012-06-13,9.821755725688737
2012-06-14,12.545410130742084
2012-06-15,13.767217541004344
2012-06-18,14.170034045521879
2012-06-19,15.918171812884783
2012-06-20,16.16621559430789
2012-06-21,17.74997101972835
2012-06-22,13.693400548351256
2012-06-25,11.910518064458225
2012-06-26,13.247043283280453
2012-06-27,10.201534132602086
2012-06-28,15.519774394529543
2012-06-29,15.447081385055709
2012-07-02,14.941187303006766
2012-07-03,12.885895540076262
2012-07-05,15.458837730935459
2012-07-06,17.49182100998916
2012-07-09,17.158826079538517
2012-07-10,16.96250482742279
2012-07-11,15.327740585452961
2012-07-12,15.315454071341884
2012-07-13,17.11102966063451
2012-07-16,16.382260587524875
2012-07-17,14.910913188577249
2012-07-18,23.241439660380976
2012-07-19,22.33659873673018
2012-07-20,23.985351366625057
2012-07-23,24.91790819377493
2012-07-24,22.231993461568578
2012-07-25,26.90516083036458
2012-07-26,29.593496029352192
2012-07-27,31.852853246755167
2012-07-30,32.48085746211261
2012-07-31,30.834797329035748
2012-08-01,31.616616917000787
2012-08-02,31.198865497427924
2012-08-03,34.33474444953837
2012-08-06,34.855706654068804
2012-08-07,35.21212781874574
2012-08-08,35.38741099190484
2012-08-09,36.126126501607956
2012-08-10,34.67254040372508
2012-08-13,36.31551516112658
2012-08-14,37.07042395722932
2012-08-15,39.733095154607774
2012-08-16,41.93659333501648
2012-08-17,41.268758316328075
2012-08-20,43.436156935482096
2012-08-21,42.60181185213489
2012-08-22,42.09922940679424
2012-08-23,42.15839846761877
2012-08-24,43.333408646060164
2012-08-27,43.328059398910064
2012-08-28,42.5991567074037
2012-08-29,41.65043033574527
2012-08-30,41.16673259106059
2012-08-31,41.61734366903914
2012-09-04,39.81813360731806
2012-09-05,40.637686858924695
2012-09-06,45.01519743909814
2012-09-07,45.6193494848851
2012-09-10,45.71929660259701
2012-09-11,44.25586346970762
2012-09-12,42.387722161730416
2012-09-13,41.235374978427465
2012-09-14,40.090869968882956
2012-09-17,43.146227589795956
2012-09-18,43.79935056190097
2012-09-19,42.28364185799592
2012-09-20,45.451001810680914
2012-09-21,39.9678328886574
2012-09-24,41.77392322675635
2012-09-25,35.87946602721353
2012-09-26,38.071286790844646
2012-09-27,37.86320451629143
2012-09-28,42.09851882052525
2012-10-01,44.129542615676215
2012-10-02,44.23089076899909
2012-10-03,43.26336844655805
2012-10-04,45.132595160347165
2012-10-05,43.87536307573041
2012-10-08,43.80240754642641
2012-10-09,43.417340873127564
2012-10-10,43.467361503332484
2012-10-11,43.93065663220832
2012-10-12,44.0493041179988
2012-10-15,45.287803484992295
2012-10-16,44.88449634436724
2012-10-17,45.273510297948626
2012-10-18,44.63842897586083
2012-10-19,43.6544629272597
2012-10-22,43.385619670062276
2012-10-23,45.026789738949766
2012-10-24,44.77849390684045
2012-10-25,44.182689794683014
2012-10-26,44.92579670909858
2012-10-31,42.677863932584685
2012-11-01,43.34127410816935
2012-11-02,43.46185630891828
2012-11-05,43.31287299006425
2012-11-06,43.176201401981494
2012-11-07,43.40673991308647
2012-11-08,44.43138048990461
2012-11-09,45.673524103650514
2012-11-12,43.84136647805804
2012-11-13,43.22300551115169
2012-11-14,41.27753450683728
2012-11-15,42.44602502549264
2012-11-16,44.02538116864712
2012-11-19,43.02526722367246
2012-11-20,42.29656542876936
2012-11-21,42.80731487208424
2012-11-23,43.77659215969862
2012-11-26,45.176064895697166
2012-11-27,45.568267850063634
2012-11-28,46.18007232304894
2012-11-29,45.978296563087916
2012-11-30,45.0178999390269
2012-12-03,44.04378196904236
2012-12-04,45.806344914619174
2012-12-05,43.90362277073091
2012-12-06,44.95581355202908
2012-12-07,45.827188562593506
2012-12-10,45.06765617006537
2012-12-11,45.7266146589299
2012-12-12,45.90239203346647
2012-12-13,46.19553943294752
2012-12-14,46.245047315255086
2012-12-17,45.976084183731935
2012-12-18,48.545197096044475
2012-12-19,48.29495384027934
2012-12-20,47.09380285626809
2012-12-21,47.206415743766705
2012-12-24,48.01683257022013
2012-12-26,48.191032726782794
2012-12-27,47.04188972023715
2012-12-28,46.975530136268375
2012-12-31,52.36338695087313
2013-01-02,52.9250269725054
2013-01-03,53.58964735335986
2013-01-04,53.96869482291904
2013-01-07,53.21363930575234
2013-01-08,53.98746962835081
2013-01-09,58.213710819325456
2013-01-10,57.56993935320663
2013-01-11,58.32340044800377
2013-01-14,57.323170846940535
2013-01-15,57.60940041219932
2013-01-16,58.25898158091471
2013-01-17,58.50796998806909
2013-01-18,57.498838142392955
2013-01-22,56.89724702656759
2013-01-23,56.564092802073944
2013-01-24,57.244858374967635
2013-01-25,57.53842931376639
2013-01-28,59.968499230395
2013-01-29,59.40580170519043
2013-01-30,58.0758032155997
2013-01-31,57.89807687713481
2013-02-01,58.18707605740403
2013-02-04,57.05303807142453
2013-02-05,56.79934421183084
2013-02-06,56.93656603154261
2013-02-07,55.40716091510277
2013-02-08,55.61955579759724
2013-02-11,54.49352433791372
2013-02-12,55.05740956439164
2013-02-13,53.69523958548813
2013-02-14,54.036310535176
2013-02-15,54.23595948160007
2013-02-19,53.80952082903002
2013-02-20,48.7234639086224
2013-02-21,50.688384608073534
2013-02-22,53.587794291262384
2013-02-25,47.96862785026146
2013-02-26,47.97926812118468
2013-02-27,48.64045425335978
2013-02-28,47.33587815038328
2013-03-01,47.01795145215936
2013-03-04,48.47274979668297
2013-03-05,48.71446275166296
2013-03-06,50.450300858006095
2013-03-07,50.89170604313169
2013-03-08,49.66938681011139
2013-03-11,49.99883576598509
2013-03-12,50.11115233913173
2013-03-13,47.85616852886405
2013-03-14,48.18583812977565
2013-03-15,45.37342461323261
2013-03-18,45.107497475319356
2013-03-19,44.84075782926172
2013-03-20,44.71291052664574
2013-03-21,44.69860384392467
2013-03-22,44.320852704010406
2013-03-25,42.573063793365144
2013-03-26,40.53892489524634
2013-03-27,42.15195443825925
2013-03-28,42.711748325129584
2013-04-01,42.288043420382664
2013-04-02,41.140632001870706
2013-04-03,40.85577649919283
2013-04-04,39.083309204441974
